kepid,iso_age,iso_age_upp,iso_age_low,iso_mass,iso_mass_upp,iso_mass_low,iso_radius,iso_radius_upp,iso_radius_low,iso_teff,iso_teff_upp,iso_teff_low,iso_feh,iso_feh_upp,iso_feh_low,iso_kmag,iso_kmag_upp,iso_kmag_low,iso_parallax,iso_parallax_upp,iso_parallax_low,teff,feh,kmag,parallax,teff_err,feh_err,kmag_err,parallax_err,binflag,dteff,dsigmateff,dfeh,dsigmafeh,dkmag,dsigmakmag,dparallax,dsigmaparallax,dsigmaobs,idx,acf,Prot,e_Prot,Rvar,LPH,w,D,N,C,G,T,F,R,M1,M2
7825899,2.88020455,4.537214462,0.5764149020000002,0.84725845,0.020831359999999965,0.022020991199999895,0.78807228,0.018129543999999997,0.016143609999999975,4972.092500000001,81.58581999999933,83.4979800000001,0.16928613,0.06497252639999998,0.0824541636,13.3448645,0.04872765999999906,0.049816820000000206,1.3464612,0.01989060000000009,0.020037167999999994,4973.0,0.165,13.344896000035106,1.347182280896952,110,0.1,0.053124246959267,0.0206304235536185,False,-0.9074999999993452,-0.008249999999994047,0.004286129999999999,0.04286129999999999,-3.150003510654642e-05,-0.0005929502423008286,-0.0007210808969519977,-0.0349523069692635,0.05592109521596811,True,True,24.93, 0.20,10670.0,0.943511, 0.541235,0,0,0,0,0,0,0,0,0
9008737,2.654712,0.37244724399999996,0.2785812879999998,0.866859495,0.0190588089999999,0.019728631000000107,0.801765515,0.015413124999999916,0.01522232620000008,5314.591,77.58850799999982,78.01744400000007,-0.04717797,0.08569704392,0.0843742256,13.4612285,0.038871539999998816,0.03859738000000057,1.2102015499999998,0.019684466000000178,0.02005973800000005,5326.4,-0.032,13.464896000035107,1.2124689066854826,110,0.1,0.0411604860878634,0.0207184318784616,False,-11.808999999999287,-0.10735454545453897,-0.015177969999999999,-0.1517797,-0.003667500035106741,-0.0891024471207142,-0.0022673566854827243,-0.109436693799197,0.23340460962551607,True,True,22.93, 0.99,6656.0,0.918205, 0.538075,0,0,0,0,0,0,0,0,0
2438513,1.5505963999999999,0.21718449200000012,0.18032106399999992,0.97676485,0.015383484400000036,0.01461571160000008,0.901321775,0.011690871400000025,0.011624827000000004,5668.6074,69.20375199999944,66.78492000000006,0.0109501035,0.0775024969,0.0780488031,12.49389,0.025707639999998477,0.02461574000000155,1.6150933,0.013227963999999925,0.012989931999999982,5731.7,0.067,12.49786455656588,1.6167769637496163,110,0.1,0.0256463067720713,0.0133308057529454,False,-63.09259999999995,-0.5735690909090905,-0.0560498965,-0.560498965,-0.003974556565879084,-0.1549757866192007,-0.0016836637496162599,-0.126298723484457,0.8265043580068981,True,True,13.23, 0.12,14393.0,1.382395, 0.651362,0,0,0,0,0,0,0,0,0
10973664,1.2518422,0.20965795999999992,0.18243424000000008,1.0004748,0.02002655200000003,0.019152220000000053,0.92155266,0.018122377599999906,0.017316666399999958,5740.4928,71.73074799999995,73.4432399999996,0.0145017505,0.08020102030000001,0.0818029073,13.2568825,0.03581094000000107,0.036809260000000066,1.10403545,0.015966677999999845,0.016408554000000075,5816.3,0.077,13.266792000070216,1.1083591415058975,110,0.1,0.0377060003176787,0.0168922705693191,False,-75.8072000000002,-0.6891563636363653,-0.0624982495,-0.6249824949999999,-0.009909500070216737,-0.2628096320672496,-0.004323691505897509,-0.2559567991854508,1.0000611973041986,True,True,10.86, 0.02,16669.0,1.077459, 0.649562,0,0,0,0,0,0,0,0,0
2302548,0.89300281,0.09220485720000005,0.082883598,0.8335865,0.010214754800000003,0.010406672000000006,0.75448892,0.007310240000000023,0.007956699999999928,4998.619000000001,75.93773199999941,66.7506800000001,0.034449964,0.0817402196,0.08181157291999999,11.577197,0.020581319999999792,0.02060215999999926,3.1744773,0.0132633000000002,0.013490200000000119,5092.2,0.1,11.581974000008778,3.175388649032959,110,0.1,0.0210196122927333,0.0134183330102907,False,-93.58099999999922,-0.8507363636363565,-0.065550036,-0.65550036,-0.0047770000087776765,-0.22726394484588736,-0.0009113490329588636,-0.06791820058869741,1.099861293514533,True,True,12.32, 0.01,19539.0,1.527251, 0.719377,0,0,0,0,0,0,0,0,0
7610663,1.20467305,0.6075295540000001,0.38403147000000004,1.0491169,0.0184383159999999,0.014633156000000147,0.96972852,0.011884392000000021,0.010958054800000006,5706.967500000001,64.38402799999949,85.10244800000146,0.16961041500000001,0.08015293139999999,0.07173874420000002,11.855409,0.020910159999999678,0.020865480000001213,2.00221825,0.012227709999999892,0.012330665999999768,5791.3,0.262,11.85892200025916,2.003601937258281,110,0.1,0.0211758567114788,0.0123836025670944,False,-84.33249999999953,-0.7666590909090866,-0.092389585,-0.92389585,-0.003513000259159682,-0.16589648801577833,-0.0013836872582810855,-0.1117354381153839,1.2171097551936618,True,True,10.41, 0.03,16612.0,1.360112, 0.719745,0,0,0,0,0,0,0,0,0
5437945,4.545208000000001,0.4732153959999996,0.9102148640000003,1.23140075,0.11589680600000007,0.0412178099999998,1.9240267000000002,0.04318136399999983,0.041565344000000115,6075.389999999999,92.17278400000032,78.4407599999995,0.040394947,0.1211995466,0.10024529332,12.342873,0.027967319999998352,0.02779196000000006,0.7819102499999999,0.013102176800000143,0.013734061999999936,6057.2,-0.014,12.339766000777484,0.7807042083165722,110,0.1,0.0282090796457758,0.0135739191470019,False,18.1899999999996,0.16536363636363272,0.054394947,0.5439494699999999,0.003106999222517004,0.11014181467569663,0.0012060416834277499,0.08884992391413579,0.5858768526442121,True,True,17.93, 0.09,676.0,0.529729, 0.322271,0,0,0,0,0,0,0,0,0
10978763,1.6827819,0.2845475719999999,0.18731610399999998,0.871865575,0.01454621300000003,0.015734394999999957,0.7955060899999999,0.01141774800000006,0.011428021999999927,5358.1307,71.66475600000012,76.22937999999976,-0.07508036500000001,0.07915721306800001,0.08021940859999999,12.855422,0.02885931999999869,0.02854896000000018,1.60438925,0.016659777999999736,0.01630314200000016,5446.3,-0.002,12.86486358677596,1.6086100010179814,110,0.1,0.030124950863433,0.016661604022387,False,-88.16930000000048,-0.8015390909090953,-0.07308036500000001,-0.73080365,-0.009441586775960076,-0.31341418011807254,-0.00422075101798125,-0.2533220098323145,1.1571254806948417,True,True,16.84, 0.06,16510.0,1.248667, 0.657084,0,0,0,0,0,0,0,0,0
9266431,2.2369655,1.5026151639999998,0.2648327920000002,0.834690685,0.010836004600000004,0.021958671399999963,0.768841425,0.008116707,0.0077189225999999556,5234.6952,61.8735999999999,71.73019999999997,-0.114618452,0.07828521068,0.0797858908,11.9551,0.01960131999999959,0.019963480000001255,2.5528074500000004,0.012021253999999537,0.01230728200000053,5276.7,-0.074,11.957242599673569,2.5536059101231268,110,0.1,0.0201718191112996,0.0124941368195732,False,-42.004799999999705,-0.38186181818181547,-0.040618452,-0.40618452,-0.002142599673568668,-0.10621747407840144,-0.0007984601231263433,-0.06390678561127032,0.5711134226399456,True,True,20.85, 0.15,6537.0,1.100768, 0.606826,0,0,0,0,0,0,0,0,0
6149910,4.725315,1.536724691999999,0.4571911599999998,0.778864385,0.012414986999999988,0.013326639400000007,0.73773108,0.010615538000000035,0.010635046400000014,4849.167,80.70857999999953,71.78185200000007,0.01138909175,0.09124200745,0.09027583695,12.707700500000001,0.022712499999999025,0.022918940000002053,1.965943,0.0212090439999999,0.02067704800000003,4837.7,-0.01,12.708320607751608,1.9671283077745323,110,0.1,0.0230280685586968,0.021319304875675,False,11.467000000000553,0.10424545454545957,0.02138909175,0.21389091749999997,-0.0006201077516063691,-0.026928343991410374,-0.001185307774532296,-0.05559786219318595,0.2458306274103239,True,True,36.61, 0.83,4068.0,0.52711, 0.324358,0,0,0,0,0,0,0,0,0
