age,bpmag,distance,dmdeep,eep,feh,kmag,logage,logg,mass,mmax,mmin,parallax,radius,rpmag,teff
3.356914,9.022396,0.13531919,0.0054005673,391.45612,-0.08904028,7.7081795,9.52594,4.0838957,1.2612875,1.4120587,0.10000001,7.3899355,1.6917825,8.393505,6322.147
3.2961133,9.0371475,0.1361836,0.0061265393,389.58463,-0.047243506,7.7114196,9.518002,4.083806,1.2753816,1.4332905,0.10000001,7.343028,1.7009814,8.400898,6298.7227
3.3434346,9.053053,0.1343786,0.006450548,389.0885,-0.025576532,7.7160606,9.524192,4.094613,1.2707016,1.4337033,0.1,7.4416614,1.6768692,8.411119,6278.768
3.141831,9.006292,0.13415828,0.0045462437,383.69897,-0.016600162,7.699665,9.497183,4.098737,1.285978,1.4645758,0.099999994,7.4538817,1.6766443,8.376276,6325.1904
3.0730102,9.017075,0.13453934,0.006522085,381.3953,-0.01264739,7.724076,9.487564,4.1080194,1.28705,1.4762547,0.1,7.4327707,1.6600549,8.392928,6346.952
3.0114255,9.0498705,0.13648772,0.007962441,379.8951,0.023794979,7.7477293,9.478772,4.10893,1.3006222,1.4980719,0.1,7.3266664,1.6674274,8.41966,6330.7344
3.4638965,9.123383,0.13597496,0.0075167464,390.1554,0.09093049,7.693391,9.539564,4.0770555,1.3031586,1.455717,0.1,7.3542953,1.7319314,8.433883,6132.6675
3.459476,9.121023,0.13598163,0.0074760797,390.15506,0.09085369,7.6913075,9.539009,4.0764275,1.303809,1.4562802,0.099999994,7.3539343,1.73364,8.431628,6133.039
3.7140307,9.031367,0.13438077,0.0039587542,401.3409,-0.10056323,7.6868057,9.569845,4.0694895,1.2384944,1.3645568,0.099999994,7.4415407,1.7079339,8.390061,6275.116
3.7332103,9.060456,0.13443322,0.0031136102,400.47177,-0.08331537,7.6997843,9.5720825,4.073158,1.2397305,1.3676298,0.1,7.4386373,1.7013575,8.411245,6248.241
3.6093905,9.087905,0.134754,0.005092752,394.4177,-0.026521653,7.7015243,9.557434,4.0770006,1.2602148,1.3994211,0.1,7.4209304,1.704243,8.424329,6201.2197
3.6426768,9.109815,0.13383536,0.0055823685,393.84048,-0.018312931,7.721408,9.56142,4.088516,1.2537756,1.3979965,0.1,7.4718666,1.678248,8.445122,6197.4688
3.3953838,9.019562,0.13399935,0.005354869,391.74225,-0.0983834,7.707772,9.530889,4.0896125,1.2532799,1.404092,0.10000001,7.462723,1.6754189,8.392387,6327.445
3.4491374,9.074618,0.13401833,0.008019476,390.40308,-0.018130183,7.717954,9.53771,4.0936275,1.2651161,1.4220612,0.10000001,7.461666,1.6739137,8.423893,6246.979
3.1845016,9.063254,0.13390769,0.005510349,382.25745,0.039548397,7.7238226,9.503041,4.10855,1.29088,1.4770353,0.099999994,7.467831,1.6616588,8.41589,6271.631
