# MIST version number  = 1.2     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2703  1.42000E-02     0.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =  1563   34
#   1                               2                               3                               4                               5                               6                               7                               8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26                  27                  28                  29                  30                  31                  32                  33                  34
EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  159         8.0000000000000000E+000         1.4362516777995049E-001         1.4362493727346806E-001         3.4922670543793108E+000         4.8697494367546792E+000        -2.3542497898308179E+000         0.0000000000000000E+000            0.041368           15.688202           14.665956           13.236688           11.946460           10.310578            8.707414            8.062311            7.839449           11.859679           13.917521           13.115137           14.876942           13.478616           11.802742           13.506266           10.612455           11.802373           13.461014           13.502983           10.588803           10.497435           11.821656           13.482935           10.586061           -1.000000
  160         8.0000000000000000E+000         1.4792967474987051E-001         1.4792943649378862E-001         3.4945975419925004E+000         4.8693195384929915E+000        -2.3293382217583956E+000         0.0000000000000000E+000            0.041369           15.565357           14.543468           13.116503           11.844744           10.233053            8.652032            8.006752            7.784563           11.769244           13.794457           13.005018           14.757351           13.356968           11.717246           13.386229           10.534437           11.715639           13.341022           13.383097           10.510936           10.422606           11.734961           13.362776           10.508243           -1.000000
  161         8.0000000000000000E+000         1.5593456891569391E-001         1.5593431662038923E-001         3.4972270089261319E+000         4.8693204677990396E+000        -2.2967008117297634E+000         0.0000000000000000E+000            0.041368           15.417665           14.395630           12.971160           11.719514           10.134857            8.578227            7.932669            7.711557           11.656487           13.646207           12.870548           14.613165           13.209989           11.609922           13.241030           10.435533           11.606968           13.195875           13.238070           10.412197           10.327213           11.626329           13.217440           10.409569           -1.000000
  162         8.0000000000000000E+000         1.6753250507741996E-001         1.6753223253509708E-001         3.5001197940286985E+000         4.8693135800479759E+000        -2.2561421576508689E+000         0.0000000000000000E+000            0.041368           15.245833           14.222899           12.801716           11.571360           10.015864            8.485349            7.839396            7.619525           11.521616           13.473894           12.712526           14.444885           13.038754           11.480843           13.071728           10.315623           11.476460           13.026630           13.068956           10.292466           10.211050           11.495867           13.047994           10.289919           -1.000000
  163         8.0000000000000000E+000         1.7939033073387395E-001         1.7939003727209088E-001         3.5030815705837877E+000         4.8688123672423096E+000        -2.2141638074344194E+000         0.0000000000000000E+000            0.041369           15.070906           14.047114           12.629538           11.420122            9.893538            8.389009            7.742564            7.523899           11.383352           13.299105           12.551517           14.272993           12.864742           11.348284           12.899683           10.192281           11.342503           12.854651           12.897106           10.169299           10.091399           11.361952           12.875815           10.166841           -1.000000
  164         8.0000000000000000E+000         1.9151662012378015E-001         1.9151630504162451E-001         3.5061210704017105E+000         4.8677927564384413E+000        -2.1706853358178395E+000         0.0000000000000000E+000            0.041368           14.892664           13.868128           12.454626           11.265803            9.767600            8.288969            7.641891            7.424196           11.241546           13.121958           12.387552           14.096706           12.687947           11.212078           12.724907           10.065276           11.204924           12.679948           12.722525           10.042468            9.968020           11.224421           12.700920           10.040100           -1.000000
  165         8.0000000000000000E+000         2.0220392872024573E-001         2.0220359440043850E-001         3.5088652760892090E+000         4.8670321674577064E+000        -2.1334782172085611E+000         0.0000000000000000E+000            0.041370           14.740055           13.714664           12.304808           11.133398            9.659889            8.203642            7.555865            7.339186           11.119816           12.970679           12.246847           13.945385           12.536454           11.095137           12.575178            9.956478           11.086822           12.530289           12.572971            9.933820            9.862329           11.106359           12.551094            9.931543           -1.000000
  166         8.0000000000000000E+000         2.0923073800176767E-001         2.0923039091575762E-001         3.5107878430496857E+000         4.8677900208237368E+000        -2.1129264418672076E+000         0.0000000000000000E+000            0.041368           14.649252           13.622810           12.215149           11.055240            9.598703            8.157632            7.509283            7.293301           11.048882           12.880556           12.163123           13.854995           12.445648           11.027431           12.485558            9.894433           11.018344           12.440716           12.483478            9.871876            9.802382           11.037908           12.461409            9.869671           -1.000000
  167         8.0000000000000000E+000         2.1627454387070549E-001         2.1627418385832597E-001         3.5126744850136307E+000         4.8684238644660800E+000        -2.0923614139778230E+000         0.0000000000000000E+000            0.041368           14.560437           13.532920           12.127410           10.978273            9.538083            8.111450            7.462506            7.247189           10.978775           12.792523           12.080858           13.766451           12.356793           10.960378           12.397842            9.832889           10.950570           12.353047           12.395885            9.810428            9.742825           10.970159           12.373632            9.808301           -1.000000
  168         8.0000000000000000E+000         2.2333132005871650E-001         2.2333094696541483E-001         3.5145299150837976E+000         4.8689606223434687E+000        -2.0717990088012286E+000         0.0000000000000000E+000            0.041370           14.473439           13.444809           12.041407           10.902397            9.478003            8.065156            7.415595            7.200919           10.909433           12.706373           11.999921           13.679594           12.269700           10.893937           12.311848            9.771825           10.883453           12.267099           12.310012            9.749455            9.683651           10.903064           12.287580            9.747411           -1.000000
  169         8.0000000000000000E+000         2.3040382972154932E-001         2.3040344338741173E-001         3.5163641668980823E+000         4.8694176331595429E+000        -2.0512110749378807E+000         0.0000000000000000E+000            0.041370           14.387878           13.358082           11.956747           10.827325            9.418306            8.018715            7.368515            7.154462           10.840634           12.621701           11.919982           13.594053           12.183968           10.827914           12.227184            9.711082           10.816790           12.182484           12.225468            9.688802            9.624719           10.836422           12.202862            9.686844           -1.000000
